证券代码,证券简称,上市日期,"华证ESG评级
[交易日期] 2009-12-31","华证ESG评级
[交易日期] 2010-12-31","华证ESG评级
[交易日期] 2011-12-31","华证ESG评级
[交易日期] 2012-12-31","华证ESG评级
[交易日期] 2013-12-31","华证ESG评级
[交易日期] 2014-12-31","华证ESG评级
[交易日期] 2015-12-31","华证ESG评级
[交易日期] 2016-12-31","华证ESG评级
[交易日期] 2017-12-31","华证ESG评级
[交易日期] 2018-12-31","华证ESG评级
[交易日期] 2019-12-31","华证ESG评级
[交易日期] 2020-12-31",2009_量化值,2010_量化值,2011_量化值,2012_量化值,2013_量化值,2014_量化值,2015_量化值,2016_量化值,2017_量化值,2018_量化值,2019_量化值,2020_量化值
000333.SZ,美的集团,2013-09-18,未上市,未上市,未上市,未上市,BBB,AA,AA,A,AA,AA,AA,A,0,0,0,0,3,5,5,4,5,5,5,4
000338.SZ,潍柴动力,2007-04-30,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
000400.SZ,许继电气,1997-04-18,AA,AA,AA,AA,A,A,AA,AA,AA,AA,AA,AA,5,5,5,5,4,4,5,5,5,5,5,5
000401.SZ,冀东水泥,1996-06-14,BBB,AA,AA,AA,AA,BBB,A,A,AA,AA,AA,AA,3,5,5,5,5,3,4,4,5,5,5,5
000402.SZ,金融街,1996-06-26,AAA,AAA,AAA,AAA,AAA,AA,AA,AA,AA,AA,AA,AA,6,6,6,6,6,5,5,5,5,5,5,5
000403.SZ,派林生物,1996-06-28,BBB,BBB,BBB,B,B,B,B,BB,BB,BB,B,BB,3,3,3,1,1,1,1,2,2,2,1,2
000404.SZ,长虹华意,1996-06-19,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,3,3,3,3,3,3,3
000407.SZ,胜利股份,1996-07-03,BBB,BBB,AA,BBB,A,AA,AA,AA,AA,AA,BB,A,3,3,5,3,4,5,5,5,5,5,2,4
000408.SZ,藏格控股,1996-06-28,BBB,BBB,BBB,B,BB,B,B,B,BB,BBB,CCC,B,3,3,3,1,2,1,1,1,2,3,0,1
000409.SZ,云鼎科技,1996-06-27,BBB,BBB,BBB,BBB,BBB,A,A,A,BB,BB,B,BB,3,3,3,3,3,4,4,4,2,2,1,2
000410.SZ,*ST沈机,1996-07-18,BBB,BBB,BBB,BBB,BBB,A,A,BB,BBB,BBB,BB,BB,3,3,3,3,3,4,4,2,3,3,2,2
000411.SZ,英特集团,1996-07-16,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
000413.SZ,东旭光电,1996-09-25,BBB,BBB,BBB,BBB,A,BBB,BBB,AA,AA,AA,AA,B,3,3,3,3,4,3,3,5,5,5,5,1
000415.SZ,渤海租赁,1996-07-16,BBB,A,A,A,A,A,BBB,BBB,BBB,AA,BBB,BBB,3,4,4,4,4,4,3,3,3,5,3,3
000416.SZ,民生控股,1996-07-19,A,A,A,A,A,BBB,BB,BBB,BBB,BBB,BBB,BBB,4,4,4,4,4,3,2,3,3,3,3,3
000417.SZ,合肥百货,1996-08-12,A,A,A,A,A,A,A,A,A,A,A,A,4,4,4,4,4,4,4,4,4,4,4,4
000419.SZ,通程控股,1996-08-16,A,A,A,BB,BBB,BBB,A,A,A,A,A,A,4,4,4,2,3,3,4,4,4,4,4,4
000420.SZ,吉林化纤,1996-08-02,BBB,BBB,BBB,BBB,BBB,A,BBB,BBB,BBB,BBB,BBB,BBB,3,3,3,3,3,4,3,3,3,3,3,3
000421.SZ,南京公用,1996-08-06,BBB,B,BB,BBB,BBB,BBB,BBB,A,BBB,BBB,BBB,BBB,3,1,2,3,3,3,3,4,3,3,3,3
000422.SZ,ST宜化,1996-08-15,AA,BBB,A,BBB,A,BBB,B,BB,CCC,BB,B,BB,5,3,4,3,4,3,1,2,0,2,1,2
000423.SZ,东阿阿胶,1996-07-29,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,5,5,5,5,5,5,5,5,5,5,5,5
